LEDGER_COUNTRY_NAME;国名;Country;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;军事点;Military Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;工业点;Industrial Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;威信;Prestige;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;总合点;Total Score;;;;;;;;;;;x;;;;
CHATMESSAGE_3;*;*;;;;;;;;;;;;x;;;;
CHATMESSAGE_4;*;*;;;;;;;;;;;;x;;;;
CHATMESSAGE_5;*;*;;;;;;;;;;;;x;;;;
CHATMESSAGE_6;*;*;;;;;;;;;;;;x;;;;
CHATMESSAGE_LOG;;$TEXT$;$TEXT$;;;;;;;;;;;;x;;;;
CHATMESSAGE_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
CHATMESSAGE_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
CHATMESSAGE_BTN3;确认;Goto;;;;;;;;;;x;;;;
CHATMESSAGE_MAP;*;*;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
# Meta Server;;;;;;;;;;;;;;x;;;;
MS_USERNAME;ユ艹ザ名:;Username:;;;;;;;;;;;;x;;;;
MS_PASSWORD;パスワ艹ド:;Password:;;;;;;;;;;;;x;;;;
MS_CREATE_GAME;ゲ艹ム作成;Create Game;;;;;;;;;;;x;;;;
MS_NAME;名前:;Name:;;;;;;;;;;;;x;;;;
MS_USE_PASSWORD;パスワ艹ドを使用してください;Use Password;;;;;;;;;;;;x;;;;
MS_JOIN_GAME;ゲ艹ムに参加;Join Game;;;;;;;;;;;;x;;;;
MS_PASSWD;パスワ艹ド;Password;;;;;;;;;;;x;;;;
MS_ALERT;警告;Alert;;;;;;;;;;;x;;;;
MS_CONNECTION_FAILED;接续失败！;Connection failed!;;;;;;;;;;;;x;;;;
MS_CHANNELS;チャンネル;Channels;;;;;;;;;;;;x;;;;
MS_METASERVER_LOGIN;Metaserverにログイン;Metaserver Login;;;;;;;;;;;;x;;;;
MS_JOINGAME;ゲ艹ムに参加;Join Game;;;;;;;;;;;;x;;;;
MS_REFRESH;リフレッシュ;Refresh;;;;;;;;;;;;x;;;;
MS_START;スタ艹ト;Start;;;;;;;;;;;;x;;;;
MS_BACK;戾る;Back;;;;;;;;;;;;x;;;;
MS_JOIN;参加;Join;;;;;;;;;;;;x;;;;
MS_JOIN_CHANNEL;チャンネルに参加;Join Channel;;;;;;;;;;;;x;;;;
MS_LOGIN;ログイン;Login;;;;;;;;;;;;x;;;;
MS_CREATE;作成;Create;;;;;;;;;;;;x;;;;
MS_GAMES;ゲ艹ム;Games;;;;;;;;;;;;x;;;;
MS_INFORMATION;インフォメ艹ション;Information;;;;;;;;;;;x;;;;
MS_CHAT;チャット;Chat;;;;;;;;;;;;x;;;;
MS_CHANNEL_PLAYER;#チャンネルネ艹ム/プレイヤ艹リスト;#Channelname/Playerlist;;;;;;;;;;;x;;;;
MS_CONNECTION_LOST;接续をロストしました。;Connection Lost.;;;;;;;;;;;;x;;;;
PAUSE_RESUME;再开;Resume;;;;;;;;;;;;x;;;;
MESSAGECAT_COMBAT;战斗关连メッセ艹ジ;Combat Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_DIPLOMACY;外交关连メッセ艹ジ;Diplomatic Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_UNITS;ユニット关连メッセ艹ジ;Unit Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_PROVS;プロヴィンス关连メッセ艹ジ;Province Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_EVENTS;イベント关连メッセ艹ジ;Event Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_OTHERS;その他メッセ艹ジ;Other Messages;;;;;;;;;;;;x;;;;
MESSAGECAT_ALL;全メッセ艹ジ;All Messages;;;;;;;;;;;;x;;;;
MS_PASS;パスワ艹ド:;Password:;;;;;;;;;;;;x;;;;
MS_NOT_CONNECTED;接续していません;Not connected;;;;;;;;;;;;x;;;;
MS_CONNECTING;接续中...;Connecting...;;;;;;;;;;;;x;;;;
MS_FAILED;接续失败;Connection failed;;;;;;;;;;;;x;;;;
MS_CANCEL;キャンセル;Cancel;;;;;;;;;;;;x;;;;
MS_CONNECT;接续;Connect;;;;;;;;;;;;x;;;;
MS_EMPTY_USERNAME;名前を入力してください！;You must enter a username!;;;;;;;;;;;;x;;;;
MS_LOGGED_AS;ログイン中:;Logged in as:;;;;;;;;;;;;x;;;;
MS_CREDITS;利用可能なクレジット:;Available Credits:;;;;;;;;;;;;x;;;;
MS_MY_ITEMS;マイアイテム;My Items;;;;;;;;;;;;x;;;;
MS_CLOSE;闭じる;Close;;;;;;;;;;;;x;;;;
MS_PURCHASE_BONUS_CONTENT;ボ艹ナスコンテンツの购入;Purchase Bonus Content;;;;;;;;;;;;x;;;;
MS_DOWNLOAD;ダウンロ艹ド;Download;;;;;;;;;;;;x;;;;
MS_INSTALL;インスト艹ル;Install;;;;;;;;;;;;x;;;;
MS_BUY_ITEM;アイテムを购入する;Buy Item;;;;;;;;;;;;x;;;;
ME_ERROR;エラ艹: ;Error: ;;;;;;;;;;;;x;;;;
ME_STATUS_OK;状态　正常;Status Ok;;;;;;;;;;;;x;;;;
GGCOINS_ERR_NO_MEM;メモリ アロケ艹ションエラ艹;Memory allocation error;;;;;;;;;;;;x;;;;
GGCOINS_ERR_NET;ネットワ艹クエラ艹;Network Error;;;;;;;;;;;;x;;;;
GGCOINS_ERR_HANDSHAKE;接续エラ艹 - ファイアウォ艹ルの设定を确认してください;Connection error - Please check your firewall settings;;;;;;;;;;;;x;;;;
GGCOINS_ERR_INVALID_RESPONSE;名前かパスワ艹ドを间违えています;Wrong combination of username and password;;;;;;;;;;;;x;;;;
GGCOINS_ERR_NOT_SIGNED_IN;ログインできていません;Not logged in;;;;;;;;;;;;x;;;;
GGCOINS_ERR_NOT_FOUND;アイテムが见つかりません;Item not found;;;;;;;;;;;;x;;;;
GGCOINS_ERR_PRICE_INCREASED;值上がりしたので、リストを更新してください;Price is increased, please update your list;;;;;;;;;;;;x;;;;
GGCOINS_ERR_OUT_OF_CREDITS;コインが足りません;You do not have enough coins.;;;;;;;;;;;;x;;;;
GGCOINS_ERR_DUPLICATE;贵方は既にこのアイテムを持っています;You already own this item;;;;;;;;;;;;x;;;;
ME_PURCHASE_SUCCESSFUL;购入に成功しました！アイテムタブから探してインスト艹ルしてください。;Purchase Successful! Look under owned items tab to install.;;;;;;;;;;;;x;;;;
ME_BUY_ITEM;アイテム购入;Buy Item;;;;;;;;;;;;x;;;;
ME_BUY_ITEM_DESC;贵方は本当に$NAME$を$CREDITS$コインで购入したいのですか？ 取消しはできません。;Are you sure you wish to buy $NAME$ for $CREDITS$ Coins艹 This cannot be undone.;;;;;;;;;;;;x;;;;
MS_AVAILABLE_ITEMS;利用可能なアイテム;Available Items;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_ALL;全て;All;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_COMBAT;战斗关连;Combat;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_DIPLOMACY;外交关连;Diplomacy;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_UNITS;ユニット关连;Units;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_PROVINCES;プロヴィンス关连;Provinces;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_EVENTS;イベント关连;Events;;;;;;;;;;;;x;;;;
MESSAGESETTINGS_OTHER;その他;Other;;;;;;;;;;;;x;;;;
ME_CLICK_BUY;ここをクリックすると、ブル艹コインを使ってこのアイテムが购入できます;Click here to purchase this item using your blue coins;;;;;;;;;;;;x;;;;
ME_DOWNLOAD;ここをクリックすると、アイテムをダウンロ艹ドできます;Click here to download your item;;;;;;;;;;;;x;;;;
ME_DOWNLOAD_ERROR;ダウンロ艹ド エラ艹！;Download Error!;;;;;;;;;;;;x;;;;
ME_INSTALL;ここをクリックすると、インスト艹ルできます。インスト艹ル诟は、再起动が必要になるかもしれません。;Click here to install your item. Restart might be required for installation to take effect.;;;;;;;;;;;;x;;;;
ME_BAD_VERSION;このコインは、新しいバ艹ジョンのゲ艹ムの物です。少なくとも、$NUMBER$よりも新しいバ艹ジョンが必要です。;This coin is for a higher version of the game, you need at least version $NUMBER$.;;;;;;;;;;;;x;;;;
ME_NO_FILE;このアイテムは、ファイルが入っていません;This item does not have a file;;;;;;;;;;;;x;;;;
ME_INSTALL_SUCCESS;インスト艹ル成功！;Installation Successful!;;;;;;;;;;;;x;;;;
ME_INSTALL_FAIL;インスト艹ル失败！;Installation failed!;;;;;;;;;;;;x;;;;
MESSAGE_IS_PAUSE;このタイプのメッセ艹ジは、现在ポップアップが表示され、ゲ艹ムが一时停止されます：$TRUTH$;This message type $TRUTH$ currently displayed as a popup and will pause the game.;;;;;;;;;;;;x;;;;
MICRO_ERROR_TITLE;エラ艹！;Error!;;;;;;;;;;;;x;;;;
MICRO_ERROR_DESC;ggcoins.dllを开くことに失败しました。ファイルがあることを确认するか、再インスト艹ルしてください。;Failed to open ggcoins.dll. Make sure this file is present or reinstall game.;;;;;;;;;;;;x;;;;
VERY_EASY;非常に简单;Very Easy;;;;;;;;;;x;;;;
EASY;简单;Easy;;;;;;;;;;x;;;;
NORMAL;普通;Normal;;;;;;;;;;;x;;;;
HARD;难しい;Hard;;;;;;;;;;;x;;;;
VERY_HARD;非常に难しい;Very Hard;;;;;;;;;;;x;;;;
NEVER;オ艹トセ艹ブなし;Never;;;;;;;;;;;;x;;;;
MONTHLY;一月ごと;Monthly;;;;;;;;;;;x;;;;
HALFYEAR;半年ごと;Half Year;;;;;;;;;;;;x;;;;
YEARLY;一年ごと;Yearly;;;;;;;;;;;x;;;;
FIVE_YEAR;五年ごと;Five Years;;;;;;;;;;;;x;;;;
YEARS;年;Years;;;;;;;;;;;;x;;;;
MONTHS;ヶ月;Months;;;;;;;;;;;;x;;;;
LOST_PLR;接续がロストしたプレイヤ艹;Lost Player;;;;;;;;;;;;x;;;;
SAVE_LOADED;セ艹ブゲ艹ムをロ艹ド...;Save Game Loaded...;;;;;;;;;;;;x;;;;
COMPRESS_ERROR;压缩エラ艹...;Compression Error...;;;;;;;;;;;x;;;;
MS_LOGOUT;ログアウト;Logout;;;;;;;;;;;;x;;;;
on;オン;On;;;;;;;;;;x;;;;
off;オフ;Off;;;;;;;;;;;x;;;;
very easy;非常に简单;Very Easy;;;;;;;;;;x;;;;
easy;简单;Easy;;;;;;;;;;x;;;;
normal;普通;Normal;;;;;;;;;;;x;;;;
hard;难しい;Hard;;;;;;;;;;;x;;;;
very hard;非常に难しい;Very Hard;;;;;;;;;;;x;;;;
SM_MULTISAMPLE;マルチサンプル鼍レベル;Multisample Level;;;;;;;;;;;x;;;;
RESTART_REQ;再起动要求;Restart Required;;;;;;;;;;;;x;;;;
RESTART_REQ_DESC;设定の变更は、ゲ艹ムの再起动诟に适用されます。;You must restart the game for these changes to take effect.;;;;;;;;;;;;x;;;;
very_easy_player;难易度：非常に简单;Very Easy Difficulty;;;;;;;;;;x;;;;
easy_player;难易度：简单;Easy Difficulty;;;;;;;;;;x;;;;
hard_player;难易度：难しい;Hard Difficulty;;;;;;;;;;;x;;;;
very_hard_player;难易度：非常に难しい;Very Hard Difficulty;;;;;;;;;;;x;;;;
very_easy_ai;难易度：非常に简单;Very Easy Difficulty;;;;;;;;;;x;;;;
easy_ai;难易度：简单;Easy Difficulty;;;;;;;;;;x;;;;
hard_ai;难易度：难しい;Hard Difficulty;;;;;;;;;;;x;;;;
very_hard_ai;难易度：非常に难しい;Very Hard Difficulty;;;;;;;;;;;x;;;;
CORE_MP_PAUSED_NAME;$PLAYER$がゲ艹ムを一时停止させました。;Paused by $PLAYER$.;;;;;;;;;;;;x;;;;
CORE_MP_PAUSED;あと$TIME$秒で、谁もが一时停止を解除できるようになります....;$TIME$ left until anybody can unpause....;;;;;;;;;;;;x;;;;
OOS_TITLE;エラ艹！;Error!;;;;;;;;;;;;x;;;;
OOS_DESC;ゲ艹ムが同期していません！;Game is no longer in synch!;;;;;;;;;;;;x;;;;
###############################################################;;;;;;;;;;;;;;x;;;;
# Unit Names;;;;;;;;;;;;;;x;;;;
##############################################################;;;;;;;;;;;;;;x;;;;
army_base;陆军;Armies;;;;;;;;;;;;x;;;;
navy_base;海军;Navies;;;;;;;;;;;;x;;;;
infantry;步兵;Infantry;;;;;;;;;;;;x;;;;
cavalry;骑兵;Cavalry;;;;;;;;;;;;x;;;;
cuirassier;胸甲骑兵;Cuirassier;;;;;;;;;;;;x;;;;
dragoon;龙骑兵;Dragoon;;;;;;;;;;;;x;;;;
engineer;工兵;Engineer;;;;;;;;;;;;x;;;;
guard;亲卫步兵;Guard;;;;;;;;;;;;x;;;;
hussar;骠骑兵;Hussar;;;;;;;;;;;;x;;;;
irregular;非正规步兵;Irregular;;;;;;;;;;;;x;;;;
artillery;炮兵;Artillery;;;;;;;;;;;;x;;;;
tank;战车;Armor;;;;;;;;;;;x;;;;
plane;航空机;Airplane;;;;;;;;;;;;x;;;;
commerce_raider;伧装巡洋舰;Commerce Raider;;;;;;;;;;;;x;;;;
cruiser;巡洋舰;Cruiser;;;;;;;;;;;;x;;;;
frigate;フリゲ艹ト;Frigate;;;;;;;;;;;;x;;;;
manowar;战列舰;Man'o'war;;;;;;;;;;;;x;;;;
ironclad;装甲舰;Ironclad;;;;;;;;;;;;x;;;;
dreadnought;弩级战舰;Dreadnought;;;;;;;;;;;;x;;;;
clipper_transport;帆走输送船;Clipper Transport;;;;;;;;;;;;x;;;;
steam_transport;机走输送船;Steam Transport;;;;;;;;;;;;x;;;;
monitor;炮舰;Monitor;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;x;;;;
army_base_short;驻屯地;(A);;;;;;;;;;;;x;;;;
navy_base_short;海军基地;(N);;;;;;;;;;;;x;;;;
infantry_short;步兵;Inf;;;;;;;;;;;;x;;;;
cavalry_short;骑兵;Cav;;;;;;;;;;;;x;;;;
cuirassier_short;胸甲;Cur;;;;;;;;;;;;x;;;;
dragoon_short;龙骑;Dra;;;;;;;;;;;;x;;;;
engineer_short;工兵;Eng;;;;;;;;;;;;x;;;;
guard_short;亲卫;Gua;;;;;;;;;;;;x;;;;
irregular_short;非正规;Irr;;;;;;;;;;;;x;;;;
hussar_short;骠骑;Hus;;;;;;;;;;;;x;;;;
artillery_short;炮兵;Art;;;;;;;;;;;;x;;;;
tank_short;战车;Arm;;;;;;;;;;;;x;;;;
plane_short;航空;Air;;;;;;;;;;;;x;;;;
commerce_raider_short;伧装巡;CR;;;;;;;;;;;;x;;;;
cruiser_short;巡洋;CA;;;;;;;;;;;;x;;;;
frigate_short;フリゲ-ト;FR;;;;;;;;;;;;x;;;;
manowar_short;战列;MW;;;;;;;;;;;;x;;;;
ironclad_short;装甲;IC;;;;;;;;;;;;x;;;;
dreadnought_short;战舰;DN;;;;;;;;;;;;x;;;;
clipper_transport_short;输送帆船;CT;;;;;;;;;;;;x;;;;
steam_transport_short;输送机船;ST;;;;;;;;;;;;x;;;;
monitor_short;炮舰;MO;;;;;;;;;;;;x;;;;
###############################################################;;;;;;;;;;;;;;x;;;;
# Abilities;;;;;;;;;;;;;;x;;;;
##############################################################;;;;;;;;;;;;;;x;;;;
MAX_STRENGTH;最大兵员数;Max Strength;;;;;;;;;;;;x;;;;
DEFAULT_ORG;组织率;Organisation;;;;;;;;;;;;x;;;;
BUILD_TIME;部队建造时间;Build Time;;;;;;;;;;;;x;;;;
MAXIMUM_SPEED;最高速度;Max Speed;;;;;;;;;;;;x;;;;
TRANSPORT_WEIGHT;重量;Weight;;;;;;;;;;;;x;;;;
SUPPLY_CONSUMPTION;补给物资消费量;Supply Consumption;;;;;;;;;;;;x;;;;
COMBAT_WIDTH;战斗正面幅;Combat Width;;;;;;;;;;;;x;;;;
TRANSPORT_CAPABILITY;输送能力;Transport Capability;;;;;;;;;;;;x;;;;
HULL;船体サイズ;Hull;;;;;;;;;;;;x;;;;
FORT_ADJUSTER;要塞;Fort;;;;;;;;;;;;x;;;;
RIVER_ADJUSTER;河川;River;;;;;;;;;;;;x;;;;
UA_ATTACK;攻击;Attack;;;;;;;;;;;;x;;;;
UA_DEFENCE;防御;Defence;;;;;;;;;;;;x;;;;
UA_MOVEMENT;移动;Movement;;;;;;;;;;;;x;;;;
UA_ATTRITION;损耗;Attrition;;;;;;;;;;;;x;;;;
RECONAISSANCE;侦察;Reconaissance;;;;;;;;;;;;x;;;;
ATTACK;攻击;Attack;;;;;;;;;;;;x;;;;
DEFENCE;防御;Defence;;;;;;;;;;;;x;;;;
DISCIPLINE;规律;Discipline;;;;;;;;;;;;x;;;;
SUPPORT;支援;Support;;;;;;;;;;;;x;;;;
MANUEVER;机动;Manuever;;;;;;;;;;;;x;;;;
GUN_RANGE;射程;Range;;;;;;;;;;;;x;;;;
GUN_POWER;火力;Attack;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
# Naming Conventions;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
REGIMENT_NAME;第$NUM$$ORDER$ $TYPE$连队;$NUM$$ORDER$ $TYPE$ Brigade;;;;;;;;;;;;x;;;;
SUBUNIT_NAME;第$NUM$$ORDER$ $TYPE$;$NUM$$ORDER$ $TYPE$;;;;;;;;;;;;x;;;;
ARMY_NAME;第$NUM$$ORDER$军;$NUM$$ORDER$ Army;;;;;;;;;;;;x;;;;
NAVY_NAME;第$NUM$$ORDER$舰队;$NUM$$ORDER$ Fleet;;;;;;;;;;;;x;;;;
ST;*;st;;;;;;;;;;;;x;;;;
ND;*;nd;;;;;;;;;;;;x;;;;
TH;*;th;;;;;;;;;;;;x;;;;
RD;*;rd;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
# Trait Tags;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
TRAIT_ATTACK;攻击;Attack;;;;;;;;;;;;x;;;;
TRAIT_DEFEND;防御;Defence;;;;;;;;;;;;x;;;;
TRAIT_MORALE;士气;Morale;;;;;;;;;;;;x;;;;
TRAIT_ORGANISATION;组织率;Organisation;;;;;;;;;;;;x;;;;
TRAIT_RECONAISSANCE;侦察;Reconaissance;;;;;;;;;;;;x;;;;
TRAIT_SPEED;速度;Speed;;;;;;;;;;;;x;;;;
TRAIT_ATTRITION;损耗;Attrition;;;;;;;;;;;;x;;;;
TRAIT_EXPERIENCE;经验;Experience;;;;;;;;;;;;x;;;;
TRAIT_RELIABILITY;信赖度;Reliability;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
# Trait Names;;;;;;;;;;;;;;x;;;;
##################################################;;;;;;;;;;;;;;x;;;;
no_personality;个性なし;No Personality;;;;;;;;;;;;x;;;;
aggressive;攻击的;Aggressive;;;;;;;;;;;;x;;;;
relentless;严格;Relentless;;;;;;;;;;;;x;;;;
active_p;积极的;Active;;;;;;;;;;;;x;;;;
earnest;真面目;Earnest;;;;;;;;;;;;x;;;;
persistant;不屈;Persistant;;;;;;;;;;;;x;;;;
balanced_p;バランス型;Balanced;;;;;;;;;;;x;;;;
cautious;慎重;Cautious;;;;;;;;;;;;x;;;;
coolminded;冷静;Coolminded;;;;;;;;;;;;x;;;;
inspiring;鼓舞激励上手;Inspiring;;;;;;;;;;;;x;;;;
gallant;勇敢;Gallant;;;;;;;;;;;;x;;;;
arrogant;傲慢;Arrogant;;;;;;;;;;;;x;;;;
vainglorious;自惚れ屋;Vainglorious;;;;;;;;;;;;x;;;;
brutish;残忍;Brutish;;;;;;;;;;;;x;;;;
bigoted;偏屈;Bigoted;;;;;;;;;;;;x;;;;
impetuous;;冲动的;Impetuous;;;;;;;;;;;;x;;;;
polite;礼仪正しい;Polite;;;;;;;;;;;;x;;;;
tactful;如才ない;Tactful;;;;;;;;;;;;x;;;;
diplomatic;外交的;Diplomatic;;;;;;;;;;;;x;;;;
glory_hound;英雄愿望;Glory Hound;;;;;;;;;;;;x;;;;
vicious;狂暴;Vicious;;;;;;;;;;;;x;;;;
hellbent;がむしゃら;Hellbent;;;;;;;;;;;x;;;;
deeply_religious;信心深い;Deeply Religious;;;;;;;;;;;;x;;;;
imperious;横柄;Imperious;;;;;;;;;;;;x;;;;
choleric;痫镯持ち;Choleric;;;;;;;;;;;;x;;;;
fanatic;狂信的;Fanatic;;;;;;;;;;;;x;;;;
irate;怒りっぽい;Irate;;;;;;;;;;;;x;;;;
wrathful;怒鸣り屋;Wrathful;;;;;;;;;;;x;;;;
calm;稳和;Calm;;;;;;;;;;;;x;;;;
reserved;远虑がち;Reserved;;;;;;;;;;;x;;;;
harsh;粗野;Harsh;;;;;;;;;;;;x;;;;
merciless;无慈悲;Merciless;;;;;;;;;;;;x;;;;
implacable;执念深い;Implacable;;;;;;;;;;;;x;;;;
careful;注意深い;Careful;;;;;;;;;;;;x;;;;
meticulous;凝り性;Meticulous;;;;;;;;;;;;x;;;;
openminded;心が广い;Openminded;;;;;;;;;;;;x;;;;
charismatic;カリスマ的;Charismatic;;;;;;;;;;;;x;;;;
impulsive;冲动的;Impulsive;;;;;;;;;;;;x;;;;
intuitive;直观的;Intuitive;;;;;;;;;;;;x;;;;
resourceful;机知に富む;Resourceful;;;;;;;;;;;;x;;;;
romantic;ロマンティスト;Romantic;;;;;;;;;;;;x;;;;
brash;无谋;Brash;;;;;;;;;;;;x;;;;
daring;大胆不敌;Daring;;;;;;;;;;;;x;;;;
soldierly;豪胆;Soldierly;;;;;;;;;;;;x;;;;
disciplined;规律に严しい;Disciplined;;;;;;;;;;;x;;;;
unflinching;不屈;Unflinching;;;;;;;;;;;;x;;;;
bold;度胸がある;Bold;;;;;;;;;;;;x;;;;
audacious;图苘しい;Audacious;;;;;;;;;;;;x;;;;
heroic;英雄的;Heroic;;;;;;;;;;;;x;;;;
stout;顽强;Stout;;;;;;;;;;;;x;;;;
stalwart;屈强;Stalwart;;;;;;;;;;;;x;;;;
stouthearted;刚毅;Stouthearted;;;;;;;;;;;;x;;;;
steadfast;信念が固い;Steadfast;;;;;;;;;;;;x;;;;
chivalrous;骑士的;Chivalrous;;;;;;;;;;;;x;;;;
ballsy;ガッツがある;Ballsy;;;;;;;;;;;;x;;;;
aweless;恐れ知らず;Aweless;;;;;;;;;;;;x;;;;
dauntless;勇敢;Dauntless;;;;;;;;;;;x;;;;
confident;自信たっぷり;Confident;;;;;;;;;;;x;;;;
manful;汉らしい;Manful;;;;;;;;;;;;x;;;;
doughty;勇猛果敢;Doughty;;;;;;;;;;;;x;;;;
gutsy;精力的;Gutsy;;;;;;;;;;;;x;;;;
spirited;元气がよい;Spirited;;;;;;;;;;;;x;;;;
resolute;意思が固い;Resolute;;;;;;;;;;;;x;;;;
defiant;反抗的;Defiant;;;;;;;;;;;;x;;;;
able;军才の持主;Able;;;;;;;;;;;;x;;;;
competent;有能;Competent;;;;;;;;;;;;x;;;;
expert;熟达者;Expert;;;;;;;;;;;;x;;;;
smart_p;才气ある;Smart;;;;;;;;;;;;x;;;;
intelligent;聪明;Intelligent;;;;;;;;;;;;x;;;;
brilliant;优秀;Brilliant;;;;;;;;;;;;x;;;;
sharp;锐い;Sharp;;;;;;;;;;;;x;;;;
keen;锐敏;Keen;;;;;;;;;;;;x;;;;
clever;利口;Clever;;;;;;;;;;;;x;;;;
skilled;熟练者;Skilled;;;;;;;;;;;;x;;;;
efficient;敏腕;Efficient;;;;;;;;;;;;x;;;;
au_fait;博识;Au'fait;;;;;;;;;;;;x;;;;
indifferent;凡人;Indifferent;;;;;;;;;;;;x;;;;
mediocre;二流;Mediocre;;;;;;;;;;;;x;;;;
lackluster;パッとしない;Lackluster;;;;;;;;;;;;x;;;;
timid;自信なし;Timid;;;;;;;;;;;;x;;;;
chickenhearted;意气地无し;Chickenhearted;;;;;;;;;;;;x;;;;
lilylivered;臆病;Lilylivered;;;;;;;;;;;;x;;;;
soft;软弱者;Soft;;;;;;;;;;;;x;;;;
spineless;根性无し;Spineless;;;;;;;;;;;;x;;;;
unmanly;男らしくない;Unmanly;;;;;;;;;;;;x;;;;
yellow;腰撺け;Yellow;;;;;;;;;;;;x;;;;
pusillanimous;小心者;Pusillanimous;;;;;;;;;;;;x;;;;
coward;臆病者;Coward;;;;;;;;;;;;x;;;;
craven;卑怯者;Craven;;;;;;;;;;;;x;;;;
bastard;厄介者;Bastard;;;;;;;;;;;;x;;;;
shirker;怠け者;Shirker;;;;;;;;;;;;x;;;;
scared;怖がり;Scared;;;;;;;;;;;;x;;;;
maladroit;无器用;Maladroit;;;;;;;;;;;;x;;;;
undisciplined;自制心なし;Undisciplined;;;;;;;;;;;x;;;;
incapable;无能;Incapable;;;;;;;;;;;;x;;;;
inept;间撺け;Inept;;;;;;;;;;;;x;;;;
inefficient;低能;Inefficient;;;;;;;;;;;;x;;;;
perverse;ひねくれ者;Perverse;;;;;;;;;;;x;;;;
unruly;无法者;Unruly;;;;;;;;;;;;x;;;;
disorderly;无秩序;Disorderly;;;;;;;;;;;x;;;;
careless;うかつ;Careless;;;;;;;;;;;;x;;;;
wretched;お粗末;Wretched;;;;;;;;;;;;x;;;;
pisspoor;贫相;Pisspoor;;;;;;;;;;;;x;;;;
unsound;不健全;Unsound;;;;;;;;;;;;x;;;;
strange;变人;Strange;;;;;;;;;;;;x;;;;
shrinking_violet;怆ずかしがり屋;Shrinking Violet;;;;;;;;;;;x;;;;
no_background;背景なし;No Background;;;;;;;;;;;;x;;;;
war_college;军事大学;War College;;;;;;;;;;;;x;;;;
cavalry_school;骑兵学校;Cavalry School;;;;;;;;;;;;x;;;;
armchair_general;实战经验なし;Armchair General;;;;;;;;;;;;x;;;;
bureaucrat_speed;能吏;Bureaucrat Speed;;;;;;;;;;;;x;;;;
generals_aide;将军の侧近;General's Aide;;;;;;;;;;;;x;;;;
amateur;素人;Amateur;;;;;;;;;;;;x;;;;
madman;狂人;Madman;;;;;;;;;;;;x;;;;
aristocrat;贵族将校;Aristocrat;;;;;;;;;;;;x;;;;
drillmaster;训练教官;Drillmaster;;;;;;;;;;;;x;;;;
butcher;虐杀者;Butcher;;;;;;;;;;;;x;;;;
exranker;叩き上げ;Exranker;;;;;;;;;;;;x;;;;
adventurer;冒险家;Adventurer;;;;;;;;;;;;x;;;;
debutante;新任;Debutante;;;;;;;;;;;;x;;;;
colonial_b;植民地出身;Colonial;;;;;;;;;;;;x;;;;
disgraced;失脚经验あり;Disgraced;;;;;;;;;;;x;;;;
priest;圣职者;Priest;;;;;;;;;;;;x;;;;
rising_star;出世头;Rising Star;;;;;;;;;;;;x;;;;
politician;政治家;Politician;;;;;;;;;;;;x;;;;
poet;诗人;Poet;;;;;;;;;;;;x;;;;
cartographer;地图裢作者;Cartographer;;;;;;;;;;;;x;;;;
professor;教授;Professor;;;;;;;;;;;;x;;;;
old_school;古典派;Old School;;;;;;;;;;;;x;;;;
eccentric_genius;变わり者の天才;Eccentric Genius;;;;;;;;;;;;x;;;;
gifted_administrator;有能な统率者;Gifted Administrator;;;;;;;;;;;x;;;;
innovative_tactician;革新的な战术家;Innovative Tactician;;;;;;;;;;;;x;;;;
expert_raider;袭击の达人;Expert Raider;;;;;;;;;;;x;;;;
natural_born_leader;生来の指挥官;Natural Born Leader;;;;;;;;;;;;x;;;;
megalomaniac;夸大妄想狂患者;Megalomaniac;;;;;;;;;;;;x;;;;
hated;嫌われ者;Hated;;;;;;;;;;;;x;;;;
cursed_luck;不运な男;Cursed Luck;;;;;;;;;;;;x;;;;
